Train Size,Epoch,Train Loss,Test Loss,Test Accuracy
0.2,1,0.62134052235253,0.3386547375543445,0.9014576062410182
0.2,2,0.6537637151017481,0.6407555092393963,0.5567645247382468
0.2,3,0.4385994289602552,0.22883959857174774,0.9306097310613837
0.2,4,0.1640290468170935,0.16158171951332512,0.9583247793060973
0.2,5,0.2025017082995298,0.15249447507503766,0.9632518989940464
0.2,6,0.2835886600066204,0.15061286349896513,0.9716690617942928
0.2,7,0.12746329902082074,0.1054902400797099,0.9768014781359063
0.2,8,0.10985493929866626,0.10185018735724727,0.9770067747895709
0.2,9,0.10510858574083873,0.09592991759331009,0.9780332580578937
0.2,10,0.09621113629973664,0.09396165196047304,0.9784438513652227
0.4,1,0.6763142803493811,0.6894397022677403,0.5384931225621022
0.4,2,0.6822630994173945,0.6728696160846286,0.5384931225621022
0.4,3,0.3481836588102944,0.31149393943400167,0.9094641757339356
0.4,4,0.1368857824376651,0.08199240651979946,0.9798809279408746
0.4,5,0.08264665031919674,0.07580513128511657,0.9813180045165264
0.4,6,0.07511160278464762,0.07294532803063786,0.9817285978238555
0.4,7,0.06819508595354094,0.07644886312263659,0.98193389447752
0.4,8,0.06734231262638861,0.0745075227832726,0.9817285978238555
0.4,9,0.06930715367388056,0.08256233982388782,0.9802915212482036
0.4,10,0.0629339198372802,0.07401536981228228,0.9823444877848491
0.6,1,0.6125984244606122,0.5178891868373148,0.7530281256415521
0.6,2,0.6958911013441021,0.6893733763227275,0.5384931225621022
0.6,3,0.6900916549624229,0.6891688482434142,0.5384931225621022
0.6,4,0.6868177461786334,0.6831167636353985,0.5676452473824677
0.6,5,0.37790906672575036,0.1848939202871977,0.958940669267091
0.6,6,0.12449788911027365,0.0799343435617249,0.9804968179018682
0.6,7,0.07993662625323145,0.07924091290329503,0.98193389447752
0.6,8,0.07454546478253846,0.07167393385487444,0.9821391911311845
0.6,9,0.07055992398689799,0.07254943915709756,0.9827550810921782
0.6,10,0.0672082431332468,0.08155873283025583,0.9809074112091973
0.8,1,0.5136824432855998,0.307327020791621,0.8977622664750564
0.8,2,0.21170648880876028,0.14885069561355255,0.96838431533566
0.8,3,0.23745294138789177,0.32832054131560856,0.8610141654691028
0.8,4,0.32418487010858,0.3069232310247577,0.8751796345719565
0.8,5,0.23107068109779785,0.15679317695740003,0.9568877027304455
0.8,6,0.28699965780744185,0.695450930034413,0.5428043522890577
0.8,7,0.2315514453042012,0.07693907415823024,0.9809074112091973
0.8,8,0.08708343568425148,0.07198271436580256,0.98193389447752
0.8,9,0.08040980722468632,0.0728181847127678,0.9821391911311845
0.8,10,0.07879643087299207,0.07176345298249348,0.9817285978238555
